rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split0_train_score
1,0.6044163437434438,0.0,0.7831298792470703,0.0,212.31813621520996,0.0,3.3983657360076904,0.0,1,100,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 100}",0.6044163437434438,0.7831298792470703
2,0.6000962486689869,0.0,0.7531522477032386,0.0,212.6022002696991,0.0,3.438316822052002,0.0,20,2,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.6000962486689869,0.7531522477032386
2,0.6000962486689869,0.0,0.7531522477032386,0.0,202.38597559928894,0.0,2.523763418197632,0.0,20,20,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 20}",0.6000962486689869,0.7531522477032386
4,0.59249306819012,0.0,0.6975747211890934,0.0,199.94365668296814,0.0,2.3334453105926514,0.0,20,100,"{'model__min_samples_leaf': 20, 'model__min_samples_split': 100}",0.59249306819012,0.6975747211890934
5,0.5594487677663982,0.0,0.5926864978849493,0.0,159.83968257904053,0.0,1.8562049865722656,0.0,100,2,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 2}",0.5594487677663982,0.5926864978849493
5,0.5594487677663982,0.0,0.5926864978849493,0.0,164.41494607925415,0.0,2.7676401138305664,0.0,100,20,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 20}",0.5594487677663982,0.5926864978849493
5,0.5594487677663982,0.0,0.5926864978849493,0.0,100.96595001220703,0.0,1.2097141742706299,0.0,100,100,"{'model__min_samples_leaf': 100, 'model__min_samples_split': 100}",0.5594487677663982,0.5926864978849493
8,0.5367659930048345,0.0,0.9828169720601683,0.0,218.7897171974182,0.0,3.993645191192627,0.0,1,20,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.5367659930048345,0.9828169720601683
9,0.4800647441188278,0.0,0.9998494431422456,0.0,231.5312304496765,0.0,4.745921850204468,0.0,1,2,"{'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.4800647441188278,0.9998494431422456
