rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_iter,param_model__min_samples_leaf,params,split0_test_score,split0_train_score
1,0.759454032413459,0.0,0.790950139933672,0.0,96.68362236022949,0.0,6.239564418792725,0.0,0.05,200,100,"{'model__learning_rate': 0.05, 'model__max_iter': 200, 'model__min_samples_leaf': 100}",0.759454032413459,0.790950139933672
2,0.7589680489023647,0.0,0.7890463796926042,0.0,81.98874974250793,0.0,6.415966033935547,0.0,0.05,200,20,"{'model__learning_rate': 0.05, 'model__max_iter': 200, 'model__min_samples_leaf': 20}",0.7589680489023647,0.7890463796926042
3,0.7582904556309604,0.0,0.7838673721159816,0.0,42.620105266571045,0.0,2.7835283279418945,0.0,0.1,100,100,"{'model__learning_rate': 0.1, 'model__max_iter': 100, 'model__min_samples_leaf': 100}",0.7582904556309604,0.7838673721159816
3,0.7582904556309604,0.0,0.7838673721159816,0.0,41.93417525291443,0.0,3.4207499027252197,0.0,0.1,200,100,"{'model__learning_rate': 0.1, 'model__max_iter': 200, 'model__min_samples_leaf': 100}",0.7582904556309604,0.7838673721159816
5,0.757542565905019,0.0,0.7956973225796701,0.0,47.856080293655396,0.0,4.446566104888916,0.0,0.1,100,20,"{'model__learning_rate': 0.1, 'model__max_iter': 100, 'model__min_samples_leaf': 20}",0.757542565905019,0.7956973225796701
5,0.757542565905019,0.0,0.7956973225796701,0.0,48.111345291137695,0.0,2.8828201293945312,0.0,0.1,200,20,"{'model__learning_rate': 0.1, 'model__max_iter': 200, 'model__min_samples_leaf': 20}",0.757542565905019,0.7956973225796701
7,0.7566009183033222,0.0,0.77558001812785,0.0,61.46704936027527,0.0,4.292128801345825,0.0,0.05,100,20,"{'model__learning_rate': 0.05, 'model__max_iter': 100, 'model__min_samples_leaf': 20}",0.7566009183033222,0.77558001812785
8,0.7565428871248693,0.0,0.7738606802439583,0.0,61.328155517578125,0.0,4.7238609790802,0.0,0.05,100,100,"{'model__learning_rate': 0.05, 'model__max_iter': 100, 'model__min_samples_leaf': 100}",0.7565428871248693,0.7738606802439583
9,0.7437606098823926,0.0,0.7520143364839406,0.0,126.3807270526886,0.0,6.935828685760498,0.0,0.01,200,100,"{'model__learning_rate': 0.01, 'model__max_iter': 200, 'model__min_samples_leaf': 100}",0.7437606098823926,0.7520143364839406
10,0.743662070875199,0.0,0.7519932750952193,0.0,126.29124212265015,0.0,6.438763380050659,0.0,0.01,200,20,"{'model__learning_rate': 0.01, 'model__max_iter': 200, 'model__min_samples_leaf': 20}",0.743662070875199,0.7519932750952193
11,0.7330606170748389,0.0,0.7375588922010113,0.0,64.65947341918945,0.0,3.2465548515319824,0.0,0.01,100,20,"{'model__learning_rate': 0.01, 'model__max_iter': 100, 'model__min_samples_leaf': 20}",0.7330606170748389,0.7375588922010113
12,0.7329750754129236,0.0,0.7374720545231623,0.0,65.14546227455139,0.0,2.3661949634552,0.0,0.01,100,100,"{'model__learning_rate': 0.01, 'model__max_iter': 100, 'model__min_samples_leaf': 100}",0.7329750754129236,0.7374720545231623
